年份,市县,居民人均可支配收入,地方一般公共预算收入,第三产业生产总值,工业企业单位数,实际外商直接投资,进出口总额,社会固定资产投资,医生数,人均公共预算支出,从业人员,个人汽车拥有量,全年专利申请数,社会保障和就业支出,移动电话用户,公共绿地面积,全年用电量,公路里程,建成区绿地面积,城镇生活污水处理率,公共图书馆图书藏量,在校学生数,教育支出,剧场、影剧院数
2016,杭州市,46116,1402.3826,6888.5853,5684,2056,679.9241,2753.13,24177,708.74,626.33,332.5709135,27999,176.76475,1061.8,5575,521.93,14399.39,18730,93.83,12540,35.3,365.340707,53
2016,宁波市,44611.6,1114.5409,3929.0953,5473,1816,936.37405,3100.0218,25773,747.51,124.61,316.2925,40892,171.2697,1218.1141,6065,575.2848,14669.195,19977,93.6,14365,34.06,382.6630047,43
2016,温州市,39601,975.5409,1865.55,5262,1576,1192.824,3722.7544,27369,786.28,281.9,240.8653,53785,165.77465,1438.6701,6555,591.7172,14939,21224,93.37,17380,33.14,246.9766,53
2016,嘉兴市,40118,837.5409,1714.7,5051,1336,936.38085,4952.7,31977,992.2888333,645.92,249.0716922,52544.4,160.2796,1561.71,5976.4,6401900,13753.5,20385.2,89.276,13150.33333,32.99,282.6924,49
2016,湖州市,30456,697.5409,1057.4869,2806,1096,679.9377,5556.31,34832,1198.297667,663.03,298.0051918,51303.8,154.78455,1726.76,5397.8,646.38,12568,19546.4,85.182,8920.666667,32.84,223.4425,45.8
2016,绍兴市,45268,390.301,2183.1059,4430,856,2760.537,5842.4194,16596,1404.3065,281.76,246.9333461,50063.2,149.2895,443.57,4819.2,337.04,11382.5,18707.6,81.088,4691,32.69,253.0114,42
2016,金华市,37159,555.1882,1893.1892,3968,616,1521.2149,2193.28,17473.5,1077.51325,476.51,295.8641731,48822.6,143.79445,845.5,4240.6,459.04,10197,17868.8,76.994,7340,32.54,215.9091333,38
2016,衢州市,26745,102.5553,598.78,933,376,281.8928,2385.5072,18351,750.72,152.25,244.795,47582,138.2994,1029.4628,3662,505.3017,10429,17030,72.9,7327,30.86,178.8068667,35
2016,舟山市,26758,120.3248,604.4498,375,136,199.2987667,2901.4258,19055,828.4437,174.7,189.5247,73647,132.80435,1088,3807,514.091519,10661,17469,75.36,7327,29.52,141.7046,32
2016,台州市,26758,343.2835,1948.7266,3618,104,116.7047333,3989.46,20984,982.0491667,511.5,164.7308198,61948.6,127.3093,1267,3497.4,5767800,7130.046463,15333,74.568,6256.333333,26.08583333,160.5928667,33
2016,丽水市,26757,1003.5667,571.1919,4845.5,344,34.1107,4506.58,21937,1135.654633,509.5,129.3721148,50250.2,121.81425,1257,3187.8,585.07,3599.092927,13197,73.776,5185.666667,22.65166667,179.4811333,28
2015,杭州市,48316,936.4545609,5853.25,6073,584,642.4680179,4961.3931,9816,1289.2601,534.18,294.0134099,38551.8,116.3192,336,2878.2,646.540809,68.13939,11061,92.984,4115,39.2175,198.3694,36
2015,宁波市,47852,869.3424217,3620.71,7509,824,650.8253357,925.98,14573,829.85505,558.86,258.6547049,26853.4,109.4419167,977.21,2568.6,300.99,7714,8925,92.192,3250,41.87,166.7918333,31
2015,温州市,44026,802.2302826,1465.92,5013,114,859.1826536,1751.5175,19330,370.45,89.21,223.296,15155,102.5646333,951.6613,2259,327.0028,7815,6789,91.4,4804,39.58,135.2142667,27
2015,嘉兴市,40817,835.1181435,345.55,1003,148,967.5399714,2357.11,19537,387.7865,111.54,196.4222,24183,95.68735,1110.4016,3149,326.9514,7916,10422,90.52,7741,37.92,103.6367,10
2015,湖州市,25829,768.0060043,387.41,996,77,575.8972893,3052.81,21855,358.3512,567.57,205.2613776,21678.8,88.81006667,1113.34,2920.6,3492700,5335.628167,10254.6,87.476,7015,33.5985,97.18521667,17
2015,绍兴市,40025,600.8938652,1133,2467,165,884.2546071,2456.39,24310,328.9159,573.98,240.9558533,19174.6,81.93278333,1122.49,2692.2,344,2755.256333,10087.2,89.432,6289,29.277,90.73373333,24
2015,金华市,38562,533.7817261,199.56,2135.25,131.5,162.611925,3905.7352,12088,299.4806,445.79,211.3855689,16670.4,75.0555,807.995,2463.8,288.5563,174.8845,9919.8,81.388,5563,24.9555,84.28225,21
2015,衢州市,35053,366.669587,186.07,1803.5,98,100.9692429,1488.26,10067,270.0453,317.6,181.8152844,14166.2,68.17821667,493.5,2235.4,290.52,7357,9752.4,83.344,4211,20.72,77.83076667,18
2015,舟山市,44845,399.5574478,262.38,1471.75,64.5,109.3265607,1488.2661,8046,240.61,82.63,152.245,11662,61.30093333,514.2285,2007,327.9051,7610,9585,85.3,5068,19.46,71.37928333,15
2015,台州市,47990,432.4453087,495.63,1140,31,117.6838786,1642.3109,8458,260.703,79.19,145.1331,16078,54.42365,544.82,2156,351.424045,7863,10040,87.28,5937,18.34,64.9278,15
2015,丽水市,35038,465.3331696,83.91,201,2,126.0411964,2221.21,9280,238.9084,332.29,167.470648,14769.2,47.54636667,614.6,2168,3964500,5272.970233,9652.4,87.204,4440.333333,17.5059,73.193,13
2014,杭州市,44632,898.2210304,5086.24,6169,2452.52,6734.398514,663.53,3512,217.1138,84.25,234.3627986,13460.4,40.66908333,191.88,2180,105.7122,2682.940467,9264.8,87.128,2943.666667,36.6718,81.4582,37
2014,宁波市,44155,731.1088913,3354.17,7389,2012.2,642.7558321,2790.1555,4223,195.3192,176.64,240.1318532,12151.6,33.7918,164.11,2192,122.9311,92.9107,8877.2,87.052,1447,35.8377,89.7234,35
2014,温州市,40510,763.9967522,2155.41,7879,265.29,651.11315,719.98,5084,173.5246,179.92,186.8274266,10842.8,32.45695,286.93,2204,140.15,7143.51,8489.6,86.976,2110,24.63,60.91615,32
2014,嘉兴市,42143,796.884613,1394.17,5005,1464.68,759.4704679,804.6706,5945,151.73,34.53,233.523,9534,31.1221,322.1078,2216,157.5608,7987.85,8102,86.9,2505,23.73,52.1089,31
2014,湖州市,38959,629.7724739,836.56,2719,495.25,767.8277857,970.7282,6262,167.5076,47.14,229.4027,12656,29.78725,324.2616,2278,165.838943,8111,8373,90.51,2033,23.1374,57.1108,25
2014,绍兴市,43167,662.6603348,1858.12,4231,736.64,776.1851036,1242.92,6819,184.66808,182.97,154.1172216,13258.8,28.4524,383,2351.4,1916100,7981.91,8941.8,88.788,2174.5,26.72305,44.11443333,21
2014,金华市,39807,695.5481957,1561.29,4069,167.78,184.5424214,610.58,3622,201.82856,81.06,170.7940416,13861.6,27.11755,419.5925,2424.8,82.9917,7852.82,9510.6,87.066,2316,24.3087,51.11806667,15
